cap_k,wy_type,n_cuttings,et_bin_idx,et_bin_label,et_bin_center,mean_saved_mm,mean_saved_acft,mean_n_late,count,is_model,cell_type
0,Critical,10,4,700–900,800,331.1057777777778,1.086305045202683,3.0,9,False,observed
0,Critical,10,5,900–1100,1000,420.1443970588236,1.3784264995368227,3.0,68,False,observed
0,Critical,10,6,1100–1400,1250,454.4003137254902,1.4908146775770676,3.0,51,False,observed
0,Critical,10,7,1400–1700,1550,771.5468013931483,2.5313215268804075,3.0,4,True,sparse
0,Critical,10,8,1700–2100,1900,,,,0,True,infeasible
0,Critical,10,9,2100–2500,2300,,,,0,True,infeasible
0,Critical,11,0,0–150,75,,,,0,True,infeasible
0,Critical,11,1,150–300,225,,,,0,True,infeasible
0,Critical,11,2,300–500,400,,,,0,True,infeasible
0,Critical,11,3,500–700,600,,,,1,True,infeasible
0,Critical,11,4,700–900,800,216.00168637680935,0.7086669500551488,3.0,2,True,sparse
0,Critical,11,5,900–1100,1000,392.3944,1.2873832020997376,3.0,5,False,observed
0,Critical,11,6,1100–1400,1250,396.87283333333335,1.3020762248468942,4.0,6,False,observed
0,Critical,11,7,1400–1700,1550,784.5201395106467,2.5738849721477908,3.0,2,True,sparse
0,Critical,11,8,1700–2100,1900,,,,0,True,infeasible
0,Critical,11,9,2100–2500,2300,,,,0,True,infeasible
0,Critical,12,0,0–150,75,,,,0,True,infeasible
0,Critical,12,1,150–300,225,,,,0,True,infeasible
0,Critical,12,2,300–500,400,,,,0,True,infeasible
0,Critical,12,3,500–700,600,,,,0,True,infeasible
0,Critical,12,4,700–900,800,213.06230601575257,0.6990233136999756,3.0,1,True,sparse
0,Critical,12,5,900–1100,1000,377.15479926868466,1.237384512036367,3.0,0,True,extrapolated
0,Critical,12,6,1100–1400,1250,667.0347178891758,2.188434113809632,3.0,1,True,sparse
0,Critical,12,7,1400–1700,1550,930.0,3.0511811023622046,3.0,0,True,extrapolated
0,Critical,12,8,1700–2100,1900,,,,0,True,infeasible
0,Critical,12,9,2100–2500,2300,,,,0,True,infeasible
0,Critical,13,0,0–150,75,,,,0,True,infeasible
0,Critical,13,1,150–300,225,,,,0,True,infeasible
0,Critical,13,2,300–500,400,,,,0,True,infeasible
0,Critical,13,3,500–700,600,,,,0,True,infeasible
0,Critical,13,4,700–900,800,,,,0,True,infeasible
0,Critical,13,5,900–1100,1000,,,,0,True,infeasible
0,Critical,13,6,1100–1400,1250,658.7060775986536,2.1611091784732728,4.0,0,True,extrapolated
0,Critical,13,7,1400–1700,1550,930.0,3.0511811023622046,4.0,0,True,extrapolated
0,Critical,13,8,1700–2100,1900,1140.0,3.7401574803149606,4.0,0,True,extrapolated
0,Critical,13,9,2100–2500,2300,1380.0,4.52755905511811,4.0,0,True,extrapolated
0,Critical,14,0,0–150,75,,,,0,True,infeasible
0,Critical,14,1,150–300,225,,,,0,True,infeasible
0,Critical,14,2,300–500,400,,,,0,True,infeasible
0,Critical,14,3,500–700,600,,,,0,True,infeasible
0,Critical,14,4,700–900,800,,,,0,True,infeasible
0,Critical,14,5,900–1100,1000,,,,0,True,infeasible
0,Critical,14,6,1100–1400,1250,651.0875630902466,2.136114052133355,5.0,0,True,extrapolated
