n_late_cuts,n,mean,median,p25,p75
0,41,0.0,0.0,0.0,0.0
1,1555,9.585866881028938,3.372,0.0,13.440999999999999
2,6579,23.173507523939808,14.02,0.0,35.913
3,2038,35.88318400392542,26.106,0.0,58.05525
4,7,45.653571428571425,50.47,0.0,69.6465
