UniqueID,county,WY,n_cuttings,n_cp_season,cutoff_date,n_late_cuts,late_et_mm,total_et_mm,late_cycle_et_mm_list,late_cut_dates,area_acres,late_et_acft,saved_mm_cap0,saved_mm_cap1,saved_mm_cap2,saved_mm_cap3
3908519,San Joaquin,2021,7.0,0,2021-07-01,3,616.966,1041.9170000000001,"[371.604, 149.862, 95.50000000000001]","[Timestamp('2021-07-28 00:00:00'), Timestamp('2021-08-22 00:00:00'), Timestamp('2021-09-11 00:00:00')]",30.33248895907549,61.3980130679953,616.966,245.36200000000002,95.50000000000001,0.0
3908609,San Joaquin,2021,9.0,9,2021-07-01,2,274.588,816.006,"[154.924, 119.664]","[Timestamp('2021-07-23 00:00:00'), Timestamp('2021-08-13 00:00:00')]",24.726867590506025,22.275922302958886,274.588,119.664,0.0,0.0
3908673,San Joaquin,2021,6.0,0,2021-07-01,2,307.18699999999995,770.2719999999999,"[175.06699999999998, 132.11999999999998]","[Timestamp('2021-08-04 00:00:00'), Timestamp('2021-09-01 00:00:00')]",39.16668771617408,39.47341633683847,307.18699999999995,132.11999999999998,0.0,0.0
3908754,San Joaquin,2021,8.0,0,2021-07-01,3,479.493,1165.138,"[199.08399999999997, 167.501, 112.908]","[Timestamp('2021-07-22 00:00:00'), Timestamp('2021-08-21 00:00:00'), Timestamp('2021-09-13 00:00:00')]",25.654459843456085,40.35805089802588,479.493,280.409,112.908,0.0
3908768,San Joaquin,2021,9.0,0,2021-07-01,4,483.6480000000001,918.46,"[109.391, 144.09300000000002, 124.768, 105.396]","[Timestamp('2021-07-07 00:00:00'), Timestamp('2021-08-05 00:00:00'), Timestamp('2021-09-01 00:00:00'), Timestamp('2021-09-26 00:00:00')]",54.661972626231844,86.73606869006491,483.6480000000001,374.257,230.164,105.396
3908793,San Joaquin,2021,7.0,0,2021-07-01,2,334.019,951.422,"[174.569, 159.45000000000002]","[Timestamp('2021-07-27 00:00:00'), Timestamp('2021-08-28 00:00:00')]",40.07293564461464,43.91444189986397,334.019,159.45000000000002,0.0,0.0
3908827,San Joaquin,2021,8.0,0,2021-07-01,3,479.309,951.2530000000002,"[173.062, 184.596, 121.65100000000001]","[Timestamp('2021-07-23 00:00:00'), Timestamp('2021-08-24 00:00:00'), Timestamp('2021-09-22 00:00:00')]",35.16756935452376,55.30227198079866,479.309,306.247,121.65100000000001,0.0
3908908,San Joaquin,2021,8.0,0,2021-07-01,2,360.42,1083.108,"[201.697, 158.723]","[Timestamp('2021-08-03 00:00:00'), Timestamp('2021-09-01 00:00:00')]",58.25071907266391,68.8803286357268,360.42,158.723,0.0,0.0
3908910,San Joaquin,2021,7.0,0,2021-07-01,2,297.54200000000003,867.309,"[154.549, 142.993]","[Timestamp('2021-07-31 00:00:00'), Timestamp('2021-09-16 00:00:00')]",12.79667087162035,12.491952245681308,297.54200000000003,142.993,0.0,0.0
3908931,San Joaquin,2021,8.0,0,2021-07-01,3,474.20399999999995,1055.453,"[168.56999999999996, 153.921, 151.713]","[Timestamp('2021-07-23 00:00:00'), Timestamp('2021-08-21 00:00:00'), Timestamp('2021-09-25 00:00:00')]",2.9266926337608714,4.553311527886943,474.20399999999995,305.634,151.713,0.0
3908971,San Joaquin,2021,5.0,0,2021-07-01,3,646.8439999999999,989.8770000000001,"[244.32799999999997, 232.724, 169.792]","[Timestamp('2021-07-11 00:00:00'), Timestamp('2021-08-19 00:00:00'), Timestamp('2021-09-22 00:00:00')]",23.1329893138299,49.09263562898617,646.8439999999999,402.51599999999996,169.792,0.0
3908976,San Joaquin,2021,6.0,0,2021-07-01,2,321.093,898.796,"[180.903, 140.19000000000003]","[Timestamp('2021-07-31 00:00:00'), Timestamp('2021-08-28 00:00:00')]",15.821610484203969,16.667350312350738,321.093,140.19000000000003,0.0,0.0
3909030,San Joaquin,2021,7.0,0,2021-07-01,3,412.59999999999997,880.48,"[139.546, 151.76, 121.294]","[Timestamp('2021-07-14 00:00:00'), Timestamp('2021-08-15 00:00:00'), Timestamp('2021-09-11 00:00:00')]",61.89583249606075,83.78681262426069,412.59999999999997,273.054,121.294,0.0
3909120,San Joaquin,2021,9.0,9,2021-07-01,3,487.61100000000005,1163.5410000000002,"[156.35300000000004, 204.548, 126.71]","[Timestamp('2021-07-09 00:00:00'), Timestamp('2021-08-12 00:00:00'), Timestamp('2021-09-05 00:00:00')]",128.5586845745686,205.6647924674868,487.61100000000005,331.258,126.71,0.0
3909138,San Joaquin,2021,9.0,10,2021-07-01,2,267.53,940.3019999999999,"[175.493, 92.037]","[Timestamp('2021-07-26 00:00:00'), Timestamp('2021-08-15 00:00:00')]",39.63948309319639,34.792489868513215,267.53,92.037,0.0,0.0
3909143,San Joaquin,2021,6.0,0,2021-07-01,2,368.063,691.983,"[213.284, 154.779]","[Timestamp('2021-07-18 00:00:00'), Timestamp('2021-08-20 00:00:00')]",53.43378138022158,64.52427124720634,368.063,154.779,0.0,0.0
3909157,San Joaquin,2021,7.0,0,2021-07-01,3,465.962,987.312,"[145.43699999999998, 193.319, 127.20599999999999]","[Timestamp('2021-07-05 00:00:00'), Timestamp('2021-08-16 00:00:00'), Timestamp('2021-09-11 00:00:00')]",8.420612163514413,12.872983218292331,465.962,320.525,127.20599999999999,0.0
