UniqueID,county,WY,n_cuttings,n_cp_season,cutoff_date,n_late_cuts,late_et_mm,late_cycle_et_mm_list,late_cut_dates,area_acres,late_et_acft,saved_mm_cap0,saved_acft_cap0,saved_mm_cap1,saved_acft_cap1,saved_mm_cap2,saved_acft_cap2,saved_mm_cap3,saved_acft_cap3,saved_mm_cap4,saved_acft_cap4
3900924,San Joaquin,2019,3.0,6,2019-07-01,1,0.0,[0.0],[Timestamp('2019-08-30 00:00:00')],31.659310169601863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3901062,San Joaquin,2019,6.0,7,2019-07-01,2,6.38,"[3.423, 2.957]","[Timestamp('2019-07-14 00:00:00'), Timestamp('2019-08-15 00:00:00')]",18.465055557870105,0.386506084183764,6.38,0.386506084183764,2.957,0.1791376945033527,0.0,0.0,0.0,0.0,0.0,0.0
3901103,San Joaquin,2019,6.0,8,2019-07-01,1,0.0,[0.0],[Timestamp('2019-08-16 00:00:00')],17.44833140767716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3901200,San Joaquin,2019,5.0,10,2019-07-01,2,10.838,"[8.780000000000001, 2.058]","[Timestamp('2019-08-06 00:00:00'), Timestamp('2019-09-08 00:00:00')]",36.63196345460784,1.3025499341241462,10.838,1.3025499341241462,2.058,0.2473378634828835,0.0,0.0,0.0,0.0,0.0,0.0
3901351,San Joaquin,2019,3.0,7,2019-07-01,2,0.0,"[0.0, 0.0]","[Timestamp('2019-07-09 00:00:00'), Timestamp('2019-09-03 00:00:00')]",8.629780201256985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3901446,San Joaquin,2019,2.0,6,2019-07-01,2,96.394,"[58.999, 37.394999999999996]","[Timestamp('2019-07-14 00:00:00'), Timestamp('2019-08-15 00:00:00')]",11.838918921168188,3.7440969504169495,96.394,3.7440969504169495,37.395,1.4524815389011951,0.0,0.0,0.0,0.0,0.0,0.0
3901521,San Joaquin,2019,4.0,8,2019-07-01,1,0.0,[0.0],[Timestamp('2019-09-10 00:00:00')],28.896344223874245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3901548,San Joaquin,2019,4.0,6,2019-07-01,2,0.0,"[0.0, 0.0]","[Timestamp('2019-07-07 00:00:00'), Timestamp('2019-08-16 00:00:00')]",29.2682092235855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3901615,San Joaquin,2019,6.0,11,2019-07-01,2,0.0,"[0.0, 0.0]","[Timestamp('2019-07-21 00:00:00'), Timestamp('2019-09-06 00:00:00')]",19.205727681454057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3901620,San Joaquin,2019,3.0,7,2019-07-01,1,0.0,[0.0],[Timestamp('2019-08-16 00:00:00')],30.10947958019586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
