n_late_cuts,n,mean,median,p25,p75
0,422,0.0,0.0,0.0,0.0
1,642,166.8691370716511,151.642,102.9245,230.76375
2,4919,367.1115025411669,361.608,311.471,416.124
3,4606,473.1091450282241,470.23299999999995,419.99225,525.8710000000001
4,118,511.28545762711866,497.53499999999997,472.07399999999996,551.044
