UniqueID,county,WY,n_cuttings,n_cp_season,cutoff_date,n_late_cuts,late_et_mm,total_et_mm,late_cycle_et_mm_list,late_cut_dates,area_acres,late_et_acft
3901351,San Joaquin,2019,8.0,0,2019-07-01,2,344.5319999999999,850.5859999999999,"[156.90699999999995, 187.625]","[Timestamp('2019-07-06 00:00:00'), Timestamp('2019-08-13 00:00:00')]",8.629780201256985,9.754709423554694
3901446,San Joaquin,2019,7.0,0,2019-07-01,3,373.854,808.7279999999998,"[177.25599999999997, 98.41399999999999, 98.18400000000001]","[Timestamp('2019-07-14 00:00:00'), Timestamp('2019-08-06 00:00:00'), Timestamp('2019-09-02 00:00:00')]",11.838918921168187,14.521086595650955
3901521,San Joaquin,2019,8.0,0,2019-07-01,3,528.34,1054.547,"[195.20600000000002, 220.84100000000004, 112.293]","[Timestamp('2019-07-06 00:00:00'), Timestamp('2019-08-19 00:00:00'), Timestamp('2019-09-12 00:00:00')]",28.896344223874245,50.088892740294355
3901548,San Joaquin,2019,4.0,0,2019-07-01,2,395.42499999999995,687.131,"[218.475, 176.94999999999996]","[Timestamp('2019-07-17 00:00:00'), Timestamp('2019-08-16 00:00:00')]",29.2682092235855,37.97041217925294
3901615,San Joaquin,2019,7.0,0,2019-07-01,2,440.38699999999994,1080.944,"[219.35399999999998, 221.033]","[Timestamp('2019-07-24 00:00:00'), Timestamp('2019-09-01 00:00:00')]",19.205727681454057,27.749188964739194
3901620,San Joaquin,2019,7.0,0,2019-07-01,2,425.58299999999997,1006.113,"[213.326, 212.257]","[Timestamp('2019-07-10 00:00:00'), Timestamp('2019-08-13 00:00:00')]",30.10947958019586,42.040953570139415
3901622,San Joaquin,2019,8.0,0,2019-07-01,3,447.823,996.77,"[137.411, 179.84199999999998, 130.57]","[Timestamp('2019-07-03 00:00:00'), Timestamp('2019-08-04 00:00:00'), Timestamp('2019-08-28 00:00:00')]",36.81355763397153,54.08778812440299
3901624,San Joaquin,2019,7.0,0,2019-07-01,3,558.1139999999999,1126.156,"[187.56199999999998, 196.95499999999998, 173.597]","[Timestamp('2019-07-09 00:00:00'), Timestamp('2019-08-15 00:00:00'), Timestamp('2019-09-21 00:00:00')]",36.500365272494875,66.83518656067322
3901638,San Joaquin,2019,8.0,0,2019-07-01,3,462.39099999999996,953.6110000000001,"[156.97299999999998, 178.83399999999997, 126.584]","[Timestamp('2019-07-02 00:00:00'), Timestamp('2019-08-09 00:00:00'), Timestamp('2019-09-08 00:00:00')]",45.822624419751264,69.51433440968898
3901646,San Joaquin,2019,8.0,0,2019-07-01,3,426.52699999999993,921.778,"[148.82, 170.172, 107.535]","[Timestamp('2019-07-13 00:00:00'), Timestamp('2019-08-18 00:00:00'), Timestamp('2019-09-12 00:00:00')]",20.964931233525547,29.33762868845784
