WY,parcel_years,unique_parcels,ET_open_total_mm,ET_corr_total_mm,delta_total_mm,annual_pct_reduction_mean,annual_pct_reduction_median,annual_ci_rel_width_pct_median,pct_reduction_total
2019,1792,1792,2053653.441,2031097.060556213,22556.38044378721,1.088528116725981,0.1995008148609147,0.7144939759277524,1.0983537920012283
2020,1792,1792,2117059.411,2094200.5091594995,22858.90184050051,1.0973260449463602,0.14270484635731373,0.7029876469890862,1.0797477728649587
2021,1792,1792,2128718.75,2080788.4920983508,47930.25790164933,2.375953845546016,0.44950257185069753,1.34957299865669,2.2516012461321786
2022,1792,1792,2111631.484,2077221.9313310056,34409.55266899427,1.5707050106223925,0.4548134277627462,1.1677412593385403,1.6295245136150975
2023,1792,1792,1906236.555,1886795.2399947082,19441.315005291788,1.0043602440872053,0.002333543757775112,0.07831783807008809,1.019879455899522
2024,1747,1747,1793585.139,1775710.992242105,17874.146757894992,0.9315804637017439,0.09275684522888657,0.2394684703230657,0.9965597043171639
