metric,n,mean,std,min,p10,p25,median,p75,p90,max,scale
ET_open_mm_year,10695.0,1132.3875437120148,198.44306272544523,259.846,893.0552,1021.6634999999999,1132.224,1249.279,1398.9859999999999,1702.897,parcel-year (overall)
ET_corr_mm_year,10695.0,1116.953176753799,198.17339944492267,237.29579987499997,872.5308574000001,1005.10057925,1118.158,1237.7469999999998,1376.5536709,1671.352186,parcel-year (overall)
delta_mm_year,10695.0,15.434366958215811,35.87926242619245,0.0,0.0,0.0,2.3391374999999925,15.845567750000022,41.636534400000016,482.522369,parcel-year (overall)
pct_reduction_year,10695.0,1.3464806964011764,3.224679522466645,0.0,0.0,0.0,0.2104884853501395,1.3664871695544232,3.5407913176093913,43.328181680711545,parcel-year (overall)
annual_ci_rel_width_pct,10695.0,2.611391224897191,5.094005939760779,0.0,0.0,0.0,0.6307426756283051,3.212797846967219,6.867374377567343,61.42121764437969,parcel-year (overall)
