wy_type,mean_open_mm,mean_corr_mm,delta_mm,n
Critical,1184.4553726256984,1161.4554255389264,22.999947086771954,3580
Dry,1182.7147547486034,1169.94441852486,12.770336223743243,1790
Above Normal,1027.8424865329512,1017.5994224883124,10.2430640446388,1745
Wet,1106.1145240223464,1094.383324176235,11.731199846111394,3580
