wy_type,cap,mean_savings_acft_per_acre,sd
Critical,0,1.34489898601542,0.37093270934029793
Dry,0,1.3395096682250656,0.3458503011371925
Above Normal,0,1.0700927180002613,0.603413168049109
Wet,0,1.2649181456077758,0.46823670026039765
Critical,1,0.6824340509072108,0.3103675675573929
Dry,1,0.7107035808756328,0.31117252247090976
Above Normal,1,0.4585385971000906,0.38826410389400484
Wet,1,0.644941538984873,0.35573054290472966
