WY,wy_type,mean_et_mm,sd,n
2019,Wet,965.4941294642857,186.479951003414,1792
2020,Dry,993.5611601562499,164.35607511806498,1792
2021,Critical,1001.5407204241071,168.21193098367235,1792
2022,Critical,979.0690128348215,208.77661470753802,1792
2023,Wet,826.9547645089286,279.73660813323335,1792
2024,Above Normal,790.7839616485404,304.0077440402185,1747
